Name,Address,Latitude,Longitude
Пункт незламності, м. Львів вулиця Мазепи 11,49.8709157,24.0325018
Пункт незламності, м. Львів вулиця Липинського 11,49.8580637,24.0226111
Пункт незламності, м. Львів вулиця Кирилівська 3а,49.8519747,23.9913003
Пункт незламності, м. Львів вулиця Шевченка 350а,49.8686458,23.9513901
Пункт незламності, м. Львів вулиця Величковського 58,49.8783523,23.932365
Пункт незламності, м. Львів вулиця Кушевича 1,49.8513149,24.0255355
Пункт незламності, м. Львів вулиця Пасічна 49б,49.8286289,24.0725091
Пункт незламності, м. Львів вулиця Костя Левицького 67,49.8324619,24.0441804
Пункт незламності, м. Львів проспект Червоної Калини 66,49.7907518,24.0572197
Пункт незламності, м. Львів проспект Червоної Калини 38,49.7979612,24.0468874
Пункт незламності, м. Львів проспект Червоної Калини 81,49.795281,24.0577201
Пункт незламності, м. Львів вулиця Стрийська 79,49.789313,24.016556
Пункт незламності, м. Львів вулиця Володимира Великого 18,49.8106242,24.002759
Пункт незламності, м. Львів вулиця Генерала Чупринки 85,49.827062,24.0050931
Пункт незламності, м. Львів вулиця Софії Караффи-Корбут 10,49.8130532,23.9983711
Пункт незламності, м. Львів вулиця Повітряна 20,49.8455437,23.9780341
Пункт незламності, м. Львів вулиця Виговського 34,49.82467889999999,23.9668812
Пункт незламності, м. Львів вулиця Широка 86Б,49.84246049999999,23.9619293
Пункт незламності, м. Львів вулиця Городоцька 36,49.8419829,24.0162889
Пункт незламності, м. Львів вулиця Ф. Ліста 1,49.8378914,24.0284491
Пункт незламності, м. Львів вулиця Сербська 15,49.840188,24.033625
